
2023/07/04 (08:08:43) | ===> btop++ v.1.2.13
2023/07/04 (08:08:43) | ERROR: Stall in Runner thread, restarting!
2023/07/04 (08:08:51) | ERROR: Stall in Runner thread, restarting!
2023/07/04 (17:19:55) | ERROR: Stall in Runner thread, restarting!

2023/09/05 (04:39:45) | ===> btop++ v.1.2.13
2023/09/05 (04:39:45) | ERROR: failed getting network interfaces

2023/09/15 (11:00:39) | ===> btop++ v.1.2.13
2023/09/15 (11:00:39) | ERROR: Stall in Runner thread, restarting!

2023/09/28 (17:32:14) | ===> btop++ v.1.2.13
2023/09/28 (17:32:14) | ERROR: Stall in Runner thread, restarting!
2023/09/28 (17:32:20) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:02) | ===> btop++ v.1.2.13
2023/09/30 (09:09:02) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:09) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:15) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:21) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:27) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:33) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:40) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:46) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:52) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:09:58) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:10:05) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:10:11) | ERROR: Stall in Runner thread, restarting!
2023/09/30 (09:10:17) | ERROR: Stall in Runner thread, restarting!

2023/10/04 (20:27:49) | ===> btop++ v.1.2.13
2023/10/04 (20:27:49) | ERROR: Stall in Runner thread, restarting!
2023/10/04 (20:28:04) | ERROR: Stall in Runner thread, restarting!
2023/10/04 (20:28:10) | ERROR: Stall in Runner thread, restarting!
